"","ERBB2","DNMT3B"
"TCGA-AZ-6605",0,NA
"TCGA-AZ-6606",0,NA
"TCGA-AZ-6607",0,NA
"TCGA-AZ-6608",0,NA
"TCGA-CA-5254",0,NA
"TCGA-CA-5255",0,NA
"TCGA-CA-5256",0,NA
"TCGA-CA-5796",0,NA
"TCGA-CA-5797",0,NA
"TCGA-CA-6715",0,NA
"TCGA-CA-6716",0,NA
"TCGA-CA-6717",0,NA
"TCGA-CA-6718",0,NA
"TCGA-CA-6719",0,NA
"TCGA-CK-4947",0,NA
"TCGA-CK-4948",0,NA
"TCGA-CK-4950",0,NA
"TCGA-CK-4951",0,NA
"TCGA-CK-4952",0,NA
"TCGA-CK-5912",0,NA
"TCGA-CK-5913",0,NA
"TCGA-CK-5914",0,NA
"TCGA-CK-5915",0,NA
"TCGA-CK-5916",0,NA
"TCGA-CK-6746",0,NA
"TCGA-CK-6747",0,NA
"TCGA-CK-6748",0,NA
"TCGA-CK-6751",0,NA
"TCGA-CM-4743",0,NA
"TCGA-CM-4744",0,NA
"TCGA-CM-4746",0,NA
"TCGA-CM-4747",0,NA
"TCGA-CM-4748",0,NA
"TCGA-CM-4750",0,NA
"TCGA-CM-4751",0,NA
"TCGA-CM-4752",0,NA
"TCGA-CM-5341",0,NA
"TCGA-CM-5344",0,NA
"TCGA-CM-5348",0,NA
"TCGA-CM-5349",0,NA
"TCGA-CM-5860",0,NA
"TCGA-CM-5861",0,NA
"TCGA-CM-5862",0,NA
"TCGA-CM-5863",0,NA
"TCGA-CM-5864",0,NA
"TCGA-CM-5868",0,NA
"TCGA-CM-6161",0,NA
"TCGA-CM-6162",0,NA
"TCGA-CM-6163",0,NA
"TCGA-CM-6164",0,NA
"TCGA-CM-6165",0,NA
"TCGA-CM-6166",0,NA
"TCGA-CM-6167",0,NA
"TCGA-CM-6168",0,NA
"TCGA-CM-6169",0,NA
"TCGA-CM-6170",0,NA
"TCGA-CM-6171",0,NA
"TCGA-CM-6172",0,NA
"TCGA-CM-6674",0,NA
"TCGA-CM-6675",0,NA
"TCGA-CM-6676",0,NA
"TCGA-CM-6677",0,NA
"TCGA-CM-6678",0,NA
"TCGA-CM-6679",0,NA
"TCGA-CM-6680",0,NA
"TCGA-D5-5537",0,NA
"TCGA-D5-5538",0,NA
"TCGA-D5-5539",0,NA
"TCGA-D5-5540",0,NA
"TCGA-D5-5541",0,NA
"TCGA-D5-6529",0,NA
"TCGA-D5-6530",0,NA
"TCGA-D5-6531",0,NA
"TCGA-D5-6532",0,NA
"TCGA-D5-6533",0,NA
"TCGA-D5-6534",0,NA
"TCGA-D5-6535",0,NA
"TCGA-D5-6536",0,NA
"TCGA-D5-6537",0,NA
"TCGA-D5-6538",0,NA
"TCGA-D5-6539",0,NA
"TCGA-D5-6540",0,NA
"TCGA-D5-6541",0,NA
"TCGA-D5-6898",0,NA
"TCGA-D5-6920",0,NA
"TCGA-D5-6922",0,NA
"TCGA-D5-6923",0,NA
"TCGA-D5-6924",0,NA
"TCGA-D5-6926",0,NA
"TCGA-D5-6927",0,NA
"TCGA-D5-6928",0,NA
"TCGA-D5-6929",0,NA
"TCGA-D5-6930",0,NA
"TCGA-D5-6931",0,NA
"TCGA-D5-6932",0,NA
"TCGA-D5-7000",0,NA
"TCGA-DM-A0X9",0,NA
"TCGA-DM-A0XD",0,NA
"TCGA-DM-A0XF",0,NA
"TCGA-DM-A1D0",0,NA
"TCGA-DM-A1D4",0,NA
"TCGA-DM-A1D6",0,NA
"TCGA-DM-A1D7",0,NA
"TCGA-DM-A1D8",0,NA
"TCGA-DM-A1D9",0,NA
"TCGA-DM-A1DA",0,NA
"TCGA-DM-A1DB",0,NA
"TCGA-DM-A1HA",0,NA
"TCGA-DM-A1HB",0,NA
"TCGA-DM-A280",0,NA
"TCGA-DM-A282",0,NA
"TCGA-DM-A285",0,NA
"TCGA-DM-A288",0,NA
"TCGA-DM-A28A",0,NA
"TCGA-DM-A28C",0,NA
"TCGA-DM-A28E",0,NA
"TCGA-DM-A28F",0,NA
"TCGA-DM-A28G",0,NA
"TCGA-DM-A28H",0,NA
"TCGA-DM-A28K",0,NA
"TCGA-DM-A28M",0,NA
"TCGA-F4-6459",0,NA
"TCGA-F4-6460",0,NA
"TCGA-F4-6461",0,NA
"TCGA-F4-6463",0,NA
"TCGA-F4-6569",0,NA
"TCGA-F4-6570",0,NA
"TCGA-F4-6703",0,NA
"TCGA-F4-6704",0,NA
"TCGA-F4-6805",0,NA
"TCGA-F4-6806",0,NA
"TCGA-F4-6807",0,NA
"TCGA-F4-6808",0,NA
"TCGA-F4-6809",0,NA
"TCGA-F4-6854",0,NA
"TCGA-F4-6855",0,NA
"TCGA-F4-6856",0,NA
"TCGA-G4-6293",0,NA
"TCGA-G4-6294",0,NA
"TCGA-G4-6295",0,NA
"TCGA-G4-6297",0,NA
"TCGA-G4-6298",0,NA
"TCGA-G4-6299",0,NA
"TCGA-G4-6302",0,NA
"TCGA-G4-6303",0,NA
"TCGA-G4-6304",0,NA
"TCGA-G4-6306",0,NA
"TCGA-G4-6307",0,NA
"TCGA-G4-6309",0,NA
"TCGA-G4-6310",0,NA
"TCGA-G4-6311",0,NA
"TCGA-G4-6314",0,NA
"TCGA-G4-6315",0,NA
"TCGA-G4-6317",0,NA
"TCGA-G4-6320",0,NA
"TCGA-G4-6321",0,NA
"TCGA-G4-6322",0,NA
"TCGA-G4-6323",0,NA
"TCGA-G4-6586",0,NA
"TCGA-G4-6588",0,NA
"TCGA-G4-6625",0,NA
"TCGA-G4-6626",0,NA
"TCGA-G4-6627",0,NA
"TCGA-G4-6628",0,NA
"TCGA-NH-A50T",0,NA
"TCGA-NH-A50U",0,NA
"TCGA-NH-A50V",0,NA
"TCGA-NH-A5IV",0,NA
"TCGA-NH-A6GA",0,NA
"TCGA-NH-A6GB",0,NA
"TCGA-NH-A6GC",0,NA
"TCGA-NH-A8F7",0,NA
"TCGA-NH-A8F8",0,NA
"TCGA-QG-A5YV",0,NA
"TCGA-QG-A5YW",0,NA
"TCGA-QG-A5YX",0,NA
"TCGA-QG-A5Z1",0,NA
"TCGA-QG-A5Z2",0,NA
"TCGA-QL-A97D",0,NA
"TCGA-RU-A8FL",0,NA
"TCGA-SS-A7HO",0,NA
"TCGA-T9-A92H",0,NA
"TCGA-WS-AB45",0,NA
"TCGA-AF-2687",0,NA
"TCGA-AF-2689",0,NA
"TCGA-AF-2690",0,NA
"TCGA-AF-2691",0,NA
"TCGA-AF-2692",0,NA
"TCGA-AF-2693",0,NA
"TCGA-AF-3400",0,NA
"TCGA-AF-3911",0,NA
"TCGA-AF-3913",0,NA
"TCGA-AF-4110",0,NA
"TCGA-AF-5654",0,NA
"TCGA-AF-6136",0,NA
"TCGA-AF-6655",0,NA
"TCGA-AF-6672",0,NA
"TCGA-AF-A56K",0,NA
"TCGA-AF-A56L",0,NA
"TCGA-AF-A56N",0,NA
"TCGA-AG-3574",0,NA
"TCGA-AG-3575",0,NA
"TCGA-AG-3578",0,NA
"TCGA-AG-3580",0,NA
"TCGA-AG-3581",0,NA
"TCGA-AG-3582",0,NA
"TCGA-AG-3583",0,NA
"TCGA-AG-3584",0,NA
"TCGA-AG-3586",0,NA
"TCGA-AG-3587",0,NA
"TCGA-AG-3591",0,NA
"TCGA-AG-3592",0,NA
"TCGA-AG-3593",0,NA
"TCGA-AG-3594",0,NA
"TCGA-AG-3598",0,NA
"TCGA-AG-3599",0,NA
"TCGA-AG-3600",0,NA
"TCGA-AG-3601",0,NA
"TCGA-AG-3602",0,NA
"TCGA-AG-3605",0,NA
"TCGA-AG-3608",0,NA
"TCGA-AG-3609",0,NA
"TCGA-AG-3611",0,NA
"TCGA-AG-3612",0,NA
"TCGA-AG-3725",0,NA
"TCGA-AG-3726",0,NA
"TCGA-AG-3727",0,NA
"TCGA-AG-3728",0,NA
"TCGA-AG-3731",0,NA
"TCGA-AG-3732",0,NA
"TCGA-AG-3742",0,NA
"TCGA-AG-3878",0,NA
"TCGA-AG-3881",0,NA
"TCGA-AG-3882",0,NA
"TCGA-AG-3883",1,NA
"TCGA-AG-3885",0,NA
"TCGA-AG-3887",0,NA
"TCGA-AG-3890",0,NA
"TCGA-AG-3892",0,NA
"TCGA-AG-3893",0,NA
"TCGA-AG-3894",0,NA
"TCGA-AG-3896",0,NA
"TCGA-AG-3898",0,NA
"TCGA-AG-3901",0,NA
"TCGA-AG-3902",0,NA
"TCGA-AG-3909",0,NA
"TCGA-AG-3999",0,NA
"TCGA-AG-4001",0,NA
"TCGA-AG-4005",0,NA
"TCGA-AG-4007",0,NA
"TCGA-AG-4008",0,NA
"TCGA-AG-4015",0,NA
"TCGA-AG-4021",0,NA
"TCGA-AG-4022",0,NA
"TCGA-AG-A002",0,NA
"TCGA-AG-A008",0,NA
"TCGA-AG-A00C",0,NA
"TCGA-AG-A00H",0,NA
"TCGA-AG-A00Y",0,NA
"TCGA-AG-A011",0,NA
"TCGA-AG-A014",0,NA
"TCGA-AG-A015",0,NA
"TCGA-AG-A016",0,NA
"TCGA-AG-A01J",0,NA
"TCGA-AG-A01L",0,NA
"TCGA-AG-A01N",0,NA
"TCGA-AG-A01W",0,NA
"TCGA-AG-A01Y",0,NA
"TCGA-AG-A020",0,NA
"TCGA-AG-A023",0,NA
"TCGA-AG-A025",0,NA
"TCGA-AG-A026",0,NA
"TCGA-AG-A02G",0,NA
"TCGA-AG-A02N",0,NA
"TCGA-AG-A02X",0,NA
"TCGA-AG-A032",0,NA
"TCGA-AG-A036",0,NA
"TCGA-AH-6544",0,NA
"TCGA-AH-6547",0,NA
"TCGA-AH-6643",1,NA
"TCGA-AH-6644",0,NA
"TCGA-AH-6897",0,NA
"TCGA-AH-6903",0,NA
"TCGA-BM-6198",0,NA
"TCGA-CI-6619",0,NA
"TCGA-CI-6620",0,NA
"TCGA-CI-6621",0,NA
"TCGA-CI-6622",0,NA
"TCGA-CI-6623",0,NA
"TCGA-CI-6624",0,NA
"TCGA-CL-4957",0,NA
"TCGA-CL-5917",0,NA
"TCGA-CL-5918",0,NA
"TCGA-DC-4745",0,NA
"TCGA-DC-4749",0,NA
"TCGA-DC-5337",0,NA
"TCGA-DC-5869",0,NA
"TCGA-DC-6154",0,NA
"TCGA-DC-6155",0,NA
"TCGA-DC-6156",0,NA
"TCGA-DC-6157",0,NA
"TCGA-DC-6158",0,NA
"TCGA-DC-6160",0,NA
"TCGA-DC-6681",0,NA
"TCGA-DC-6682",0,NA
"TCGA-DC-6683",0,NA
"TCGA-DT-5265",0,NA
"TCGA-DY-A0XA",0,NA
"TCGA-DY-A1DC",0,NA
"TCGA-DY-A1DD",0,NA
"TCGA-DY-A1DE",0,NA
"TCGA-DY-A1DF",0,NA
"TCGA-DY-A1DG",0,NA
"TCGA-DY-A1H8",0,NA
"TCGA-EF-5830",0,NA
"TCGA-EF-5831",0,NA
"TCGA-EI-6506",0,NA
"TCGA-EI-6507",0,NA
"TCGA-EI-6508",0,NA
"TCGA-EI-6509",0,NA
"TCGA-EI-6510",0,NA
"TCGA-EI-6511",0,NA
"TCGA-EI-6512",0,NA
"TCGA-EI-6513",0,NA
"TCGA-EI-6514",0,NA
"TCGA-EI-6881",0,NA
"TCGA-EI-6882",0,NA
"TCGA-EI-6883",0,NA
"TCGA-EI-6884",0,NA
"TCGA-EI-6885",0,NA
"TCGA-EI-6917",0,NA
"TCGA-EI-7002",0,NA
"TCGA-EI-7004",0,NA
"TCGA-F5-6464",0,NA
"TCGA-F5-6465",0,NA
"TCGA-F5-6571",0,NA
"TCGA-F5-6702",0,NA
"TCGA-F5-6810",0,NA
"TCGA-F5-6811",0,NA
"TCGA-F5-6812",0,NA
"TCGA-F5-6813",1,NA
"TCGA-F5-6814",0,NA
"TCGA-F5-6861",0,NA
"TCGA-F5-6863",0,NA
"TCGA-F5-6864",0,NA
"TCGA-G5-6233",0,NA
"TCGA-G5-6235",0,NA
"TCGA-G5-6572",0,NA
"TCGA-G5-6641",0,NA
"TCGA-2J-AAB1",NA,NA
"TCGA-2J-AAB4",NA,NA
"TCGA-2J-AAB6",NA,NA
"TCGA-2J-AAB8",NA,NA
"TCGA-2J-AAB9",NA,NA
"TCGA-2J-AABA",NA,NA
"TCGA-2J-AABE",NA,NA
"TCGA-2J-AABF",NA,NA
"TCGA-2J-AABH",NA,NA
"TCGA-2J-AABI",NA,NA
"TCGA-2J-AABK",NA,NA
"TCGA-2J-AABO",NA,NA
"TCGA-2J-AABP",NA,NA
"TCGA-2J-AABR",NA,NA
"TCGA-2J-AABT",NA,NA
"TCGA-2J-AABU",NA,NA
"TCGA-2J-AABV",NA,NA
"TCGA-2L-AAQA",NA,NA
"TCGA-2L-AAQE",NA,NA
"TCGA-2L-AAQI",NA,NA
"TCGA-2L-AAQJ",NA,NA
"TCGA-2L-AAQL",NA,NA
"TCGA-2L-AAQM",NA,NA
"TCGA-3A-A9I5",NA,NA
"TCGA-3A-A9I7",NA,NA
"TCGA-3A-A9I9",NA,NA
"TCGA-3A-A9IB",NA,NA
"TCGA-3A-A9IC",NA,NA
"TCGA-3A-A9IH",NA,NA
"TCGA-3A-A9IJ",NA,NA
"TCGA-3A-A9IL",NA,NA
"TCGA-3A-A9IN",NA,NA
"TCGA-3A-A9IO",NA,NA
"TCGA-3A-A9IR",NA,NA
"TCGA-3A-A9IS",NA,NA
"TCGA-3A-A9IU",NA,NA
"TCGA-3A-A9IV",NA,NA
"TCGA-3A-A9IX",NA,NA
"TCGA-3A-A9IZ",NA,NA
"TCGA-3A-A9J0",NA,NA
"TCGA-3E-AAAY",NA,NA
"TCGA-3E-AAAZ",NA,NA
"TCGA-F2-6879",NA,NA
"TCGA-F2-6880",NA,NA
"TCGA-F2-7273",NA,NA
"TCGA-F2-7276",NA,NA
"TCGA-F2-A44G",NA,NA
"TCGA-F2-A44H",NA,NA
"TCGA-F2-A7TX",NA,NA
"TCGA-F2-A8YN",NA,NA
"TCGA-FB-A4P5",NA,NA
"TCGA-FB-A545",NA,NA
"TCGA-FB-A5VM",NA,NA
"TCGA-FB-A78T",NA,NA
"TCGA-FB-A7DR",NA,NA
"TCGA-FB-AAPP",NA,NA
"TCGA-FB-AAPQ",NA,NA
"TCGA-FB-AAPS",NA,NA
"TCGA-FB-AAPU",NA,NA
"TCGA-FB-AAPY",NA,NA
"TCGA-FB-AAPZ",NA,NA
"TCGA-FB-AAQ0",NA,NA
"TCGA-FB-AAQ1",NA,NA
"TCGA-FB-AAQ2",NA,NA
"TCGA-FB-AAQ3",NA,NA
"TCGA-FB-AAQ6",NA,NA
"TCGA-FZ-5919",NA,NA
"TCGA-FZ-5920",NA,NA
"TCGA-FZ-5921",NA,NA
"TCGA-FZ-5922",NA,NA
"TCGA-FZ-5923",NA,NA
"TCGA-FZ-5924",NA,NA
"TCGA-FZ-5926",NA,NA
"TCGA-H6-8124",NA,NA
"TCGA-H6-A45N",NA,NA
"TCGA-H8-A6C1",NA,NA
"TCGA-HV-A5A3",NA,NA
"TCGA-HV-A5A4",NA,NA
"TCGA-HV-A5A5",NA,NA
"TCGA-HV-A5A6",NA,NA
"TCGA-HV-A7OL",NA,NA
"TCGA-HV-A7OP",NA,NA
"TCGA-HV-AA8V",NA,NA
"TCGA-HV-AA8X",NA,NA
"TCGA-HZ-7289",NA,NA
"TCGA-HZ-7918",NA,NA
"TCGA-HZ-7919",NA,NA
"TCGA-HZ-7920",NA,NA
"TCGA-HZ-7922",NA,NA
"TCGA-HZ-7923",NA,NA
"TCGA-HZ-7924",NA,NA
"TCGA-HZ-7925",NA,NA
"TCGA-HZ-7926",NA,NA
"TCGA-HZ-8001",NA,NA
"TCGA-HZ-8002",NA,NA
"TCGA-HZ-8003",NA,NA
"TCGA-HZ-8005",NA,NA
"TCGA-HZ-8315",NA,NA
"TCGA-HZ-8317",NA,NA
"TCGA-HZ-8519",NA,NA
"TCGA-HZ-8636",NA,NA
"TCGA-HZ-8637",NA,NA
"TCGA-HZ-8638",NA,NA
"TCGA-HZ-A49G",NA,NA
"TCGA-HZ-A49H",NA,NA
"TCGA-HZ-A49I",NA,NA
"TCGA-HZ-A4BH",NA,NA
"TCGA-HZ-A4BK",NA,NA
"TCGA-HZ-A77O",NA,NA
"TCGA-HZ-A77P",NA,NA
"TCGA-HZ-A77Q",NA,NA
"TCGA-HZ-A8P0",NA,NA
"TCGA-HZ-A8P1",NA,NA
"TCGA-HZ-A9TJ",NA,NA
"TCGA-IB-7644",NA,NA
"TCGA-IB-7645",NA,NA
"TCGA-IB-7646",NA,NA
"TCGA-IB-7647",NA,NA
"TCGA-IB-7649",NA,NA
"TCGA-IB-7651",NA,NA
"TCGA-IB-7652",NA,NA
"TCGA-IB-7654",NA,NA
"TCGA-IB-7885",NA,NA
"TCGA-IB-7886",NA,NA
"TCGA-IB-7887",NA,NA
"TCGA-IB-7888",NA,NA
"TCGA-IB-7889",NA,NA
"TCGA-IB-7890",NA,NA
"TCGA-IB-7891",NA,NA
"TCGA-IB-7893",NA,NA
"TCGA-IB-7897",NA,NA
"TCGA-IB-8126",NA,NA
"TCGA-IB-8127",NA,NA
"TCGA-IB-A5SO",NA,NA
"TCGA-IB-A5SP",NA,NA
"TCGA-IB-A5SQ",NA,NA
"TCGA-IB-A5SS",NA,NA
"TCGA-IB-A5ST",NA,NA
"TCGA-IB-A6UF",NA,NA
"TCGA-IB-A6UG",NA,NA
"TCGA-IB-A7LX",NA,NA
"TCGA-IB-A7M4",NA,NA
"TCGA-IB-AAUM",NA,NA
"TCGA-IB-AAUN",NA,NA
"TCGA-IB-AAUO",NA,NA
"TCGA-IB-AAUP",NA,NA
"TCGA-IB-AAUQ",NA,NA
"TCGA-IB-AAUR",NA,NA
"TCGA-IB-AAUS",NA,NA
"TCGA-IB-AAUT",NA,NA
"TCGA-IB-AAUU",NA,NA
"TCGA-IB-AAUV",NA,NA
"TCGA-IB-AAUW",NA,NA
"TCGA-L1-A7W4",NA,NA
"TCGA-LB-A7SX",NA,NA
"TCGA-LB-A8F3",NA,NA
"TCGA-LB-A9Q5",NA,NA
"TCGA-M8-A5N4",NA,NA
"TCGA-OE-A75W",NA,NA
"TCGA-PZ-A5RE",NA,NA
"TCGA-Q3-A5QY",NA,NA
"TCGA-Q3-AA2A",NA,NA
"TCGA-RB-A7B8",NA,NA
"TCGA-RB-AA9M",NA,NA
"TCGA-RL-AAAS",NA,NA
