"","AKT2","ERBB2","CCNE1"
"TCGA-BR-6705",NA,0,0
"TCGA-BR-6706",NA,0,0
"TCGA-BR-6707",NA,0,0
"TCGA-BR-6709",NA,0,0
"TCGA-BR-6710",NA,0,0
"TCGA-BR-6801",NA,0,0
"TCGA-BR-6802",NA,0,0
"TCGA-BR-6803",NA,0,0
"TCGA-BR-6852",NA,0,0
"TCGA-BR-7196",NA,0,0
"TCGA-BR-7197",NA,0,0
"TCGA-BR-7703",NA,0,0
"TCGA-BR-7704",NA,0,0
"TCGA-BR-7707",NA,0,0
"TCGA-BR-7715",NA,0,1
"TCGA-BR-7716",NA,0,0
"TCGA-BR-7717",NA,0,0
"TCGA-BR-7722",NA,0,0
"TCGA-BR-7723",NA,0,0
"TCGA-BR-7851",NA,0,0
"TCGA-BR-7901",NA,0,0
"TCGA-BR-7957",NA,0,0
"TCGA-BR-7958",NA,0,0
"TCGA-BR-7959",NA,0,0
"TCGA-BR-8058",NA,0,0
"TCGA-BR-8059",NA,0,0
"TCGA-BR-8060",NA,0,0
"TCGA-BR-8077",NA,0,0
"TCGA-BR-8078",NA,0,0
"TCGA-BR-8080",NA,0,0
"TCGA-BR-8081",NA,0,0
"TCGA-BR-8284",NA,0,0
"TCGA-BR-8285",NA,0,0
"TCGA-BR-8286",NA,0,0
"TCGA-BR-8289",NA,0,0
"TCGA-BR-8291",NA,0,0
"TCGA-BR-8295",NA,0,-1
"TCGA-BR-8296",NA,0,0
"TCGA-BR-8297",NA,0,0
"TCGA-BR-8360",NA,0,0
"TCGA-BR-8361",NA,0,0
"TCGA-BR-8362",NA,0,0
"TCGA-BR-8363",NA,0,0
"TCGA-BR-8364",NA,0,0
"TCGA-BR-8365",NA,0,0
"TCGA-BR-8366",NA,0,0
"TCGA-BR-8367",NA,0,0
"TCGA-BR-8368",NA,0,0
"TCGA-BR-8369",NA,0,0
"TCGA-BR-8370",NA,0,0
"TCGA-BR-8371",NA,0,0
"TCGA-BR-8372",NA,0,0
"TCGA-BR-8373",NA,0,0
"TCGA-BR-8380",NA,0,0
"TCGA-BR-8381",NA,0,0
"TCGA-BR-8382",NA,0,0
"TCGA-BR-8384",NA,0,0
"TCGA-BR-8483",NA,1,0
"TCGA-BR-8484",NA,0,0
"TCGA-BR-8485",NA,0,0
"TCGA-BR-8486",NA,0,0
"TCGA-BR-8487",NA,0,0
"TCGA-BR-8588",NA,0,0
"TCGA-BR-8589",NA,0,0
"TCGA-BR-8590",NA,0,0
"TCGA-BR-8591",NA,0,0
"TCGA-BR-8592",NA,0,0
"TCGA-BR-8676",NA,0,0
"TCGA-BR-8677",NA,0,0
"TCGA-BR-8678",NA,0,0
"TCGA-BR-8679",NA,0,0
"TCGA-BR-8680",NA,0,0
"TCGA-BR-8682",NA,0,0
"TCGA-BR-8683",NA,0,-1
"TCGA-BR-8686",NA,0,0
"TCGA-BR-8687",NA,0,0
"TCGA-BR-8690",NA,1,0
"TCGA-BR-A44T",NA,0,0
"TCGA-BR-A44U",NA,0,0
"TCGA-BR-A452",NA,0,0
"TCGA-BR-A453",NA,0,0
